,0,1,2,3
319,0,0,2,3
320,0,0,1,3
321,1,2,3,3
322,0,2,3,3
323,0,2,0,5
324,0,2,2,0
325,1,0,2,0
326,0,0,1,0
327,2,0,0,1
328,1,0,0,1
329,3,0,1,1
330,1,0,0,1
331,1,0,3,1
332,0,4,1,3
333,0,0,2,0
334,0,0,3,0
335,0,0,0,0
336,0,0,0,2
337,0,0,0,2
338,2,2,0,0
339,2,2,0,0
340,1,2,0,0
341,2,0,1,1
342,0,0,1,1
343,2,0,1,1
344,1,1,0,1
345,1,0,1,0
346,2,0,0,0
347,1,2,0,2
348,4,0,1,0
349,0,0,0,1
350,0,0,1,3
351,0,0,2,0
352,0,0,0,0
353,0,0,1,0
354,0,2,0,0
355,0,0,0,0
356,1,0,1,0
357,1,0,0,1
358,0,3,0,1
359,1,0,1,0
360,0,0,1,1
361,0,0,0,1
362,0,0,1,0
363,2,0,0,0
364,0,0,0,0
365,0,0,0,0
366,2,4,0,1
367,2,0,1,0
368,3,0,2,1
369,0,0,0,1
370,2,0,0,0
371,0,0,0,0
372,1,0,0,0
373,0,2,0,0
374,1,0,1,0
375,0,1,0,1
376,0,0,0,0
377,0,0,0,0
378,1,0,0,0
379,0,0,0,1
380,1,0,0,1
381,0,0,0,1
382,2,0,2,0
383,0,0,0,0
384,1,1,0,0
385,2,0,1,0
386,0,1,0,0
387,1,0,0,0
388,0,0,0,2
389,2,0,1,2
390,2,2,0,2
391,2,0,0,0
392,0,0,1,0
393,1,1,1,0
394,1,1,0,0
395,0,1,0,0
396,3,0,0,0
397,0,0,1,1
398,0,3,0,1
399,0,0,0,0
400,1,0,0,0
401,0,0,0,0
402,0,0,2,2
403,2,0,0,3
404,0,2,0,3
405,0,0,1,0
406,0,0,0,0
407,0,1,0,0
408,1,0,1,0
409,0,0,0,1
410,2,0,2,0
411,0,0,0,0
412,0,3,0,1
413,1,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,1,0
417,1,1,0,0
418,0,1,0,0
419,4,0,0,2
420,0,0,2,2
421,1,0,1,4
422,3,1,1,0
423,6,1,1,0
424,0,1,0,2
425,0,1,0,2
426,1,0,0,0
427,2,0,1,0
428,0,0,0,0
429,0,0,0,0
430,1,0,0,2
431,0,0,0,3
432,2,0,0,0
433,3,0,0,0
434,0,1,0,2
435,0,0,0,1
436,3,0,1,1
437,0,2,0,1
438,2,0,2,1
439,2,0,3,2
440,0,0,0,3
441,2,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,3,0,0,0
446,2,2,0,0
447,0,3,1,0
448,3,0,2,0
449,3,0,2,0
450,0,0,0,1
451,1,0,0,0
452,0,0,0,0
453,0,0,0,1
454,2,0,0,0
455,0,1,0,0
456,1,0,0,0
457,0,0,0,0
458,0,0,0,0
459,1,2,2,0
460,0,2,0,0
461,2,0,1,2
462,0,2,0,2
463,0,0,0,0
464,0,0,0,0
465,0,1,0,1
466,3,0,2,0
467,0,0,0,0
468,0,0,2,0
469,1,0,0,0
470,0,1,0,1
471,3,0,0,0
472,0,1,0,1
473,0,0,0,0
474,0,0,0,0
475,0,0,0,1
476,2,0,0,0
477,0,1,1,0
478,0,1,1,0
479,0,2,2,0
480,1,3,0,0
481,2,0,0,2
482,0,0,0,2
483,1,0,2,0
484,0,0,0,0
485,0,0,0,2
486,0,0,1,0
487,0,1,0,0
488,0,0,0,0
489,0,0,0,0
490,0,2,0,0
491,1,0,0,0
492,0,0,0,2
493,2,0,2,0
494,0,0,1,0
495,2,0,0,0
