simTime,e2Detector_Ai_1_0/JamLengthVehicle,e2Detector_Ai_1_0/LastStepVehicleNumber,e2Detector_Ai_1_0/LastStepHaltingNumber,e2Detector_Ai_1_0/LastStepMeanSpeed,e2Detector_Ai_1_0/LastStepOccupancy,e2Detector_Bi_1_1/JamLengthVehicle,e2Detector_Bi_1_1/LastStepVehicleNumber,e2Detector_Bi_1_1/LastStepHaltingNumber,e2Detector_Bi_1_1/LastStepMeanSpeed,e2Detector_Bi_1_1/LastStepOccupancy,e2Detector_Ci_1_2/JamLengthVehicle,e2Detector_Ci_1_2/LastStepVehicleNumber,e2Detector_Ci_1_2/LastStepHaltingNumber,e2Detector_Ci_1_2/LastStepMeanSpeed,e2Detector_Ci_1_2/LastStepOccupancy,e2Detector_Di_1_3/JamLengthVehicle,e2Detector_Di_1_3/LastStepVehicleNumber,e2Detector_Di_1_3/LastStepHaltingNumber,e2Detector_Di_1_3/LastStepMeanSpeed,e2Detector_Di_1_3/LastStepOccupancy
18.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
18.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
19.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
19.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
19.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
19.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
20.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
20.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
20.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
20.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
21.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
21.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
21.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
21.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
22.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
22.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
22.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
22.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
23.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
23.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
23.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
23.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
24.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
24.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
24.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
24.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
25.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
25.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
25.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
25.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
26.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
26.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
26.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
26.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
27.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
27.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
27.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
27.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
28.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
28.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
28.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
28.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
29.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
29.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
